iter	Passed	Remaining
536	506312	437355
537	508537	437512
538	514116	440534
539	518915	442859
540	524357	445704
541	530174	448835
542	535774	451750
543	535774	451750
544	540888	453230
545	547387	456826
546	556208	462316
547	564899	467645
548	572597	472104
549	572597	472104
550	574632	470821
551	576332	470303
552	577395	469265
553	578429	468202
554	579707	467336
555	580832	466346
556	581837	465259
557	583751	464897
558	585172	464138
559	586249	463105
560	587278	462034
561	588380	461020
562	592685	462506
563	594937	462375
564	596035	461344
565	596919	460147
566	597875	459007
567	598815	457855
568	599706	456666
569	600544	455439
570	603229	455607
571	604337	454580
572	605888	453884
573	606984	452846
574	609312	452723
575	610203	451529
576	610203	451529
577	613504	451043
578	615150	450396
579	616175	449294
580	617167	448168
581	618122	447015
582	619112	445889
583	620256	444873
584	621258	443756
585	622903	443096
586	623907	441979
587	624930	440875
588	625858	439705
589	626770	438525
590	627649	437323
591	628536	436127
592	629495	434982
593	630521	433884
594	632195	433230
595	635659	433794
596	636876	432818
597	638097	431843
598	639169	430768
599	640519	429878
600	641427	428692
601	642434	427573
602	643489	426486
603	644435	425327
604	645545	424277
605	646355	423030
606	647171	421788
607	648003	420558
608	648825	419323
609	649657	418096
610	650516	416887
611	651312	415640
612	652095	414385
