iter	MultiClass
301	0.2707406588
302	0.270718273
303	0.2706892292
304	0.2706629444
305	0.2701990309
306	0.2700020213
307	0.2698820316
308	0.2697731428
309	0.2697573492
310	0.2697418384
311	0.2696882433
312	0.2696626973
313	0.2696402248
314	0.2694331053
315	0.2694140499
316	0.2691865364
317	0.2690501207
318	0.269029705
319	0.2690136513
320	0.2689888703
321	0.2689712206
322	0.2689554561
323	0.2689398964
324	0.2689080275
325	0.2688942576
326	0.2688785993
327	0.2688590827
328	0.2687154285
329	0.2687007777
330	0.2686787026
331	0.2683831208
332	0.2680191596
333	0.2680082884
334	0.2679960685
335	0.2679829255
336	0.2679624745
337	0.26794769
338	0.2679260621
339	0.2677820804
340	0.2677663024
341	0.2672801058
342	0.2672598426
343	0.2672435672
344	0.266708642
345	0.2664774875
346	0.2664597818
347	0.2662532726
348	0.2662342015
349	0.2662122484
350	0.2662020563
351	0.2656615482
352	0.2656487611
353	0.265629648
354	0.2656158776
355	0.265595163
356	0.2655731223
357	0.2655568684
358	0.2655466805
359	0.2655292311
360	0.2654174995
361	0.2653963837
362	0.2653845993
363	0.265371439
364	0.2650077964
365	0.2649970572
366	0.2649777425
367	0.2649535075
368	0.2647888674
369	0.2646099446
370	0.264592148
371	0.2645457261
372	0.2641526275
373	0.2641341696
374	0.2641230214
375	0.2641095259
376	0.2640907261
377	0.2639661638
378	0.263953363
379	0.2637931876
380	0.263779825
381	0.2636538607
382	0.2636411809
383	0.2636121998
384	0.2635964026
385	0.263572722
386	0.2633875469
387	0.2631238697
388	0.2631076832
389	0.2630891728
390	0.2630679544
391	0.2629217641
392	0.2629097383
393	0.262713977
394	0.262695689
395	0.2625184622
396	0.2623597286
397	0.2623459042
398	0.2623159923
399	0.2621778572
400	0.2621515414
401	0.2621305855
402	0.262118026
403	0.2621066076
404	0.2620839395
405	0.2617842123
406	0.261757989
407	0.2617331427
408	0.261714806
409	0.261696362
410	0.2616827641
411	0.2616711832
412	0.2616539377
413	0.2615223084
414	0.2615115616
415	0.2614382533
416	0.2614255647
417	0.261068068
418	0.2610582605
419	0.2610467257
420	0.2610346127
421	0.2610082587
422	0.2604065376
423	0.2603787783
424	0.2602418515
425	0.2602272684
426	0.2602113415
427	0.2601350801
428	0.2601074857
429	0.2599332981
430	0.2599123631
431	0.2597686901
432	0.2597557665
433	0.2596194446
434	0.2595989275
435	0.2595810042
436	0.2595645138
437	0.2595523952
438	0.2595334941
439	0.2595223699
440	0.2594942214
441	0.2594791481
442	0.2594504632
443	0.2594374098
444	0.2594217098
445	0.2594097677
446	0.2593911568
447	0.2592846767
448	0.2592633824
449	0.2592487417
450	0.259235803
451	0.259200797
452	0.2591712542
453	0.2591586053
454	0.2589220672
455	0.2589056662
456	0.2588944924
457	0.2588752533
458	0.25886487
459	0.2588246855
460	0.2587166763
461	0.2587014878
462	0.2586861408
463	0.2586687502
464	0.2586481868
465	0.2586348406
466	0.2586132345
467	0.2586017545
468	0.2585788202
469	0.2585561412
470	0.2585237769
471	0.2584469113
472	0.2584348445
473	0.2583921251
474	0.2583771743
475	0.258287334
476	0.2582713945
477	0.2579559744
478	0.2578395216
479	0.2578251224
480	0.257810007
481	0.2577948331
482	0.2577777637
483	0.2577567813
484	0.2577402421
485	0.2577274746
486	0.2576991752
487	0.2573430896
488	0.2573291353
489	0.2572884967
490	0.2572698211
491	0.2572462008
492	0.2572270666
493	0.257205766
494	0.2570520093
495	0.2570403543
496	0.2570276772
497	0.2566087607
498	0.2565892102
499	0.256579162
500	0.2565604847
501	0.2565504918
502	0.256538377
503	0.2565244883
504	0.2565107582
505	0.256495947
506	0.2564694836
507	0.2564572827
508	0.2562661561
509	0.2562561667
510	0.2562403702
511	0.2562133876
512	0.2561988187
513	0.2561828726
514	0.2561640821
515	0.2561233289
516	0.256112418
517	0.2561025045
518	0.255951309
519	0.2559342706
520	0.2559196229
521	0.2559058742
522	0.2558800029
523	0.2558565621
524	0.2558039736
525	0.2557804516
526	0.2557571054
527	0.2557454173
528	0.2557320162
529	0.2555929827
530	0.2555751692
531	0.2555577173
532	0.2555426928
533	0.2555301677
534	0.255511485
535	0.2554917833
536	0.2554782651
537	0.2554567541
538	0.2552860924
539	0.2551642303
540	0.2548848327
541	0.2548631227
542	0.2548505839
543	0.2548243021
544	0.2548109741
545	0.2547956419
546	0.2547786891
547	0.2542946253
548	0.2542825992
549	0.2542475451
550	0.2542234998
551	0.2542115341
552	0.2539464785
553	0.2539120835
554	0.2538923762
555	0.2537516638
556	0.2537291207
557	0.2537133271
558	0.2535561816
559	0.2534274349
560	0.2534069072
561	0.2533813345
562	0.2532022121
563	0.2531877444
564	0.2531739831
565	0.2531455872
566	0.2531265948
567	0.2531117478
568	0.2531011695
569	0.2530896774
570	0.2530780681
571	0.2530500301
572	0.2530364514
573	0.2530149595
574	0.2529992385
575	0.2529853575
576	0.2529737089
577	0.252712611
578	0.2526987478
579	0.2526841452
580	0.2526656865
581	0.2526505187
582	0.252486548
583	0.2524616538
584	0.2524486332
585	0.2524379442
586	0.2524178541
587	0.2524067708
588	0.2523940034
589	0.252166746
590	0.252155683
591	0.2521411999
592	0.251985434
593	0.2519735993
594	0.2519617879
595	0.2519488844
596	0.251938633
597	0.2519228679
598	0.2519091819
599	0.2518914683
600	0.2518776667
601	0.2518561021
602	0.2512420929
603	0.2512229697
604	0.2512090188
605	0.2511938351
606	0.2509296806
607	0.2509166948
608	0.2507528246
609	0.2507383317
610	0.2507274484
611	0.2507098475
612	0.2506959491
